no,homo_HIL,thickness_HIL,lumo_HTL1,homo_HTL1,thickness_HTL1,lumo_HTL2,homo_HTL2,thickness_HTL2,lumo_HTL3,homo_HTL3,thickness_HTL3,total_HTL_thickness,triplet_HTL,lumo_EML,homo_EML,triplet_HOST,thickness_EML,lumo_dopant,homo_dopant,triplet_dopant,dopant_percentage,triplet_ETL,total_ETL_thickness,lumo_ETL1,homo_ETL1,thickness_ETL1,lumo_ETL2,homo_ETL2,thickness_ETL2,cathode_workfunction,thickness_cathode1,cd/A
195,5.3,1,2.5,5.5,40,2.4,5.9,5,2.4,5.9,0,45,3,2.7,6.5,2.8,30,3,5.7,2.7,10,2.8,30,2.7,6.5,0,2.7,6.5,30,3.5,1,29.4
196,5.3,1,2.5,5.2,40,2.4,5.9,5,2.4,5.9,0,45,3,2.7,6.5,2.8,30,3,5.7,2.7,10,2.8,30,2.7,6.5,0,2.7,6.5,30,3.5,1,27.7
197,5.2,40,2,5.5,20,2.4,5.9,10,2.4,5.9,0,30,3,2.79,5.9,2.88,25,3,5.7,2.7,3,2.8,35,2.5,6.8,5,2.8,6.2,30,3.5,1,42.64
198,5.2,40,2,5.5,20,2.4,5.9,10,2.4,5.9,0,30,3,2.72,5.9,2.88,25,3,5.7,2.7,3,2.8,35,2.5,6.8,5,2.8,6.2,30,3.5,1,38.66
199,5.2,40,2,5.5,20,2.4,5.9,10,2.4,5.9,0,30,3,2.67,5.89,2.85,25,3,5.7,2.7,3,2.8,35,2.5,6.8,5,2.8,6.2,30,3.5,1,34.68
200,5.2,60,2,5.5,20,2.4,5.9,10,2.4,5.9,0,30,3,2.63,6.04,2.89,25,3,5.7,2.7,3,3.36,35,2.5,6.8,5,2.8,6.2,30,3.5,1,36.67
201,5.2,60,2,5.5,20,2.4,5.9,10,2.4,5.9,0,30,3,2.63,6.06,2.89,25,3,5.7,2.7,3,3.36,35,2.5,6.8,5,2.8,6.2,30,3.5,1,32.69
202,5.2,60,2,5.5,20,2.4,5.9,10,2.4,5.9,0,30,3,2.63,6.04,2.89,25,2.21,4.95,2.7,3,3.36,35,2.5,6.8,5,2.8,6.2,30,3.5,1,45.63
203,5.2,60,2,5.5,20,2.4,5.9,10,2.4,5.9,0,30,3,2.63,6.06,2.89,25,2.21,4.95,2.7,3,3.36,35,2.5,6.8,5,2.8,6.2,30,3.5,1,45.63
204,5.2,60,2,5.5,20,2.4,5.9,10,2.4,5.9,0,30,3,2.84,6.28,2.74,25,3,5.7,2.7,3,3.36,35,2.5,6.8,5,2.8,6.2,30,3.5,1,29.7
205,5.2,60,2,5.5,20,2.4,5.9,10,2.4,5.9,0,30,3,2.66,6.15,2.81,25,3,5.7,2.7,3,3.36,35,2.5,6.8,5,2.8,6.2,30,3.5,1,35.67
206,5.2,60,2,5.5,20,2.4,5.9,10,2.4,5.9,0,30,3,2.74,6.17,2.88,25,3,5.7,2.7,3,3.36,35,2.5,6.8,0,2.5,6.8,35,3.5,1,43.64
207,5.3,10,2.5,5.2,70,2.4,5.9,5,2.4,5.9,0,75,3,2.32,5.8,2.81,40,3,5.7,2.7,7,2.75,40,2.73,6.68,0,2.73,6.68,40,3.5,1,20.5
208,5.3,10,2.5,5.2,70,2.4,5.9,5,2.4,5.9,0,75,3,2.35,6.23,2.87,40,3,5.7,2.7,7,2.75,40,2.73,6.68,0,2.73,6.68,40,3.5,1,28.1
209,5.3,10,2.5,5.2,70,2.4,5.9,5,2.4,5.9,0,75,3,2.28,5.76,2.81,40,3,5.7,2.7,7,2.75,40,2.73,6.68,0,2.73,6.68,40,3.5,1,31.7
